
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-0.353611 -1.01902  0 
-0.358108 -1.02302  0 
-0.362623 -1.02703  0 
-0.367155 -1.03103  0 
-0.371705 -1.03504  0 
-0.376273 -1.03904  0 
-0.380858 -1.04304  0 
-0.383838 -1.04564  0 
-0.38571 -1.04705  0 
-0.391042 -1.05105  0 
-0.396393 -1.05506  0 
-0.401765 -1.05906  0 
-0.407157 -1.06306  0 
-0.41257 -1.06707  0 
-0.418003 -1.07107  0 
-0.423457 -1.07508  0 
-0.424242 -1.07565  0 
-0.429783 -1.07908  0 
-0.436276 -1.08308  0 
-0.442793 -1.08709  0 
-0.449334 -1.09109  0 
-0.455899 -1.0951  0 
-0.462488 -1.0991  0 
-0.464646 -1.10041  0 
-0.470091 -1.1031  0 
-0.478203 -1.10711  0 
-0.486345 -1.11111  0 
-0.494516 -1.11512  0 
-0.502716 -1.11912  0 
-0.505051 -1.12025  0 
-0.512631 -1.12312  0 
-0.52325 -1.12713  0 
-0.533906 -1.13113  0 
-0.544601 -1.13514  0 
-0.545455 -1.13545  0 
-0.559284 -1.13914  0 
-0.574363 -1.14314  0 
-0.585859 -1.14619  0 
-0.591917 -1.14715  0 
-0.617224 -1.15115  0 
-0.626263 -1.15258  0 
-0.666667 -1.1547  0 
-0.707071 -1.15258  0 

-0.116262 -0.650651  0 
-0.117859 -0.654655  0 
-0.119466 -0.658659  0 
-0.121082 -0.662663  0 
-0.122709 -0.666667  0 
-0.124345 -0.670671  0 
-0.125991 -0.674675  0 
-0.127646 -0.678679  0 
-0.129312 -0.682683  0 
-0.130987 -0.686687  0 
-0.132672 -0.690691  0 
-0.134367 -0.694695  0 
-0.136072 -0.698699  0 
-0.137787 -0.702703  0 
-0.139511 -0.706707  0 
-0.141245 -0.710711  0 
-0.141414 -0.711099  0 
-0.143115 -0.714715  0 
-0.145009 -0.718719  0 
-0.146914 -0.722723  0 
-0.148829 -0.726727  0 
-0.150755 -0.730731  0 
-0.152691 -0.734735  0 
-0.154638 -0.738739  0 
-0.156595 -0.742743  0 
-0.158564 -0.746747  0 
-0.160542 -0.750751  0 
